nr,lab,github,name,colab,link
1,lab-voice-to-text,code,notebook.ipynb,https://colab.research.google.com/github/kirenz/lab-voice-to-text/blob/main/code/notebook.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-voice-to-text/blob/main/code/notebook.ipynb )
2,lab-voice-to-text,code,voice-to-text.ipynb,https://colab.research.google.com/github/kirenz/lab-voice-to-text/blob/main/code/voice-to-text.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-voice-to-text/blob/main/code/voice-to-text.ipynb )
